MaDH,MaKH,MaSP,SoLuong,NgayDat,TongTien
1,99,75,1,2024-06-02,18390000
2,331,93,1,2024-08-20,1190000
3,296,72,6,2024-08-12,95940000
4,428,48,8,2024-11-21,63920000
5,890,71,9,2024-05-22,163710000
6,599,40,5,2025-03-01,2495000
7,657,90,8,2024-11-02,7920000
8,825,61,4,2024-02-27,19160000
9,31,2,1,2024-09-28,12440000
10,408,26,3,2024-10-02,9720000
11,401,32,1,2024-05-16,10990000
12,855,7,10,2024-12-14,124400000
13,470,35,5,2024-09-23,13750000
14,24,43,3,2025-01-14,1260000
15,196,54,8,2025-02-26,39120000
16,628,18,10,2024-03-11,52900000
17,9,26,9,2024-07-02,29160000
18,576,34,3,2024-06-18,11370000
19,478,87,3,2025-03-12,576000
20,953,80,4,2025-02-05,2040000
21,702,37,1,2024-05-04,439000
22,443,19,3,2024-08-02,9270000
23,849,48,4,2024-10-23,31960000
24,56,30,9,2024-07-24,99810000
25,734,15,1,2024-10-25,8490000
26,150,66,6,2024-11-18,16740000
27,13,68,2,2024-03-02,20380000
28,88,2,10,2024-06-28,124400000
29,525,55,9,2024-04-07,65610000
30,383,57,10,2024-05-10,51490000
31,885,75,1,2025-03-04,18390000
32,875,79,4,2024-09-21,300000
33,165,56,6,2024-03-14,23940000
34,420,4,8,2025-02-04,22000000
35,265,9,8,2024-03-30,103920000
36,697,65,9,2024-08-18,35910000
37,28,53,1,2024-08-30,1190000
38,880,91,10,2024-12-28,24400000
39,270,56,3,2024-06-17,11970000
40,816,23,7,2024-10-14,45430000
41,731,88,8,2024-10-22,6320000
42,142,1,6,2024-09-27,32880000
43,284,3,4,2024-03-09,31000000
44,882,38,6,2025-01-15,12540000
45,447,35,8,2024-03-27,22000000
46,715,83,10,2024-06-19,850000
47,981,71,7,2024-05-23,127330000
48,632,62,4,2025-01-22,26980000
49,221,96,3,2024-06-09,2370000
50,135,42,4,2024-12-29,2200000
51,515,22,9,2024-10-20,78210000
52,324,6,2,2024-07-16,20780000
53,630,68,8,2024-04-10,81520000
54,569,38,8,2025-01-10,16720000
55,873,35,9,2024-09-28,24750000
56,405,11,6,2024-11-30,83940000
57,207,3,9,2024-08-16,69750000
58,988,49,4,2024-12-01,30760000
59,811,84,1,2024-03-22,450000
60,552,91,10,2024-10-12,24400000
61,778,51,4,2024-07-21,31960000
62,208,40,8,2025-01-18,3992000
63,223,74,10,2024-06-11,152900000
64,785,45,4,2024-09-13,15960000
65,188,16,6,2025-01-31,17940000
66,697,25,2,2024-10-22,21500000
67,652,10,8,2025-01-02,59120000
68,852,42,2,2024-08-17,1100000
69,636,23,2,2024-11-10,12980000
70,723,66,4,2024-09-25,11160000
71,857,89,7,2024-09-14,6930000
72,143,47,1,2024-05-28,7590000
73,93,19,2,2024-05-29,6180000
74,647,58,2,2024-12-29,16640000
75,769,63,1,2024-05-10,8600000
76,685,12,8,2024-03-27,94000000
77,973,86,3,2024-11-20,300000
78,311,34,4,2025-01-09,15160000
79,838,79,9,2024-10-23,675000
80,241,48,5,2024-06-01,39950000
81,548,71,6,2024-10-06,109140000
82,717,8,1,2025-01-24,10190000
83,378,95,6,2024-09-29,5340000
84,134,38,5,2024-12-13,10450000
85,115,12,7,2024-06-06,82250000
86,225,72,8,2024-11-09,127920000
87,473,7,2,2025-03-10,24880000
88,248,12,5,2024-10-25,58750000
89,66,50,7,2024-05-07,39130000
90,780,62,9,2024-11-22,60705000
91,702,34,2,2025-02-23,7580000
92,238,64,4,2024-11-21,33560000
93,492,96,10,2025-01-09,7900000
94,710,90,6,2024-12-21,5940000
95,511,39,6,2024-03-22,5940000
96,243,45,4,2024-09-16,15960000
97,632,66,5,2024-10-06,13950000
98,673,4,5,2024-10-13,13750000
99,995,19,5,2024-05-16,15450000
100,231,96,6,2024-12-23,4740000
101,517,89,1,2025-02-23,990000
102,714,12,7,2024-07-21,82250000
103,650,45,9,2024-11-11,35910000
104,130,85,1,2025-03-17,90000
105,354,33,5,2025-01-11,68950000
106,25,51,10,2024-08-03,79900000
107,864,61,10,2024-05-31,47900000
108,539,41,10,2024-02-24,9900000
109,670,6,1,2024-07-17,10390000
110,480,87,2,2025-01-28,384000
111,882,21,7,2024-12-22,101430000
112,605,78,9,2024-08-18,441000
113,592,57,3,2024-05-05,15447000
114,540,56,9,2024-08-11,35910000
115,163,69,4,2024-09-08,55960000
116,113,57,4,2024-12-28,20596000
117,54,22,8,2024-07-06,69520000
118,340,11,7,2024-03-01,97930000
119,739,24,8,2024-12-30,35200000
120,233,81,2,2024-11-16,340000
121,680,84,4,2024-03-01,1800000
122,676,49,5,2024-10-06,38450000
123,683,16,1,2024-03-28,2990000
124,436,41,9,2024-11-29,8910000
125,54,52,9,2024-05-05,7731000
126,383,40,5,2024-03-29,2495000
127,112,51,7,2024-03-11,55930000
128,817,85,2,2024-04-15,180000
129,565,55,9,2024-12-29,65610000
130,180,37,5,2024-02-11,2195000
131,484,5,6,2025-01-11,51600000
132,993,54,1,2024-12-03,4890000
133,183,28,6,2024-09-28,113940000
134,289,7,4,2024-08-05,49760000
135,769,83,3,2025-02-01,255000
136,202,66,3,2025-01-03,8370000
137,939,3,8,2024-03-23,62000000
138,736,18,2,2024-10-28,10580000
139,717,92,8,2025-02-07,20720000
140,127,71,3,2024-08-08,54570000
141,524,11,10,2024-07-05,139900000
142,111,14,10,2024-07-09,84900000
143,109,7,8,2024-11-06,99520000
144,823,37,7,2024-11-17,3073000
145,795,1,1,2024-05-07,5480000
146,609,6,10,2024-03-11,103900000
147,372,82,4,2024-04-30,680000
148,554,91,2,2024-07-26,4880000
149,37,64,10,2024-12-13,83900000
150,210,46,6,2024-12-27,20940000
151,804,16,3,2024-10-21,8970000
152,331,91,10,2025-03-08,24400000
153,138,77,8,2024-08-31,225520000
154,86,5,6,2024-07-27,51600000
155,351,28,1,2024-03-30,18990000
156,120,88,9,2024-11-11,7110000
157,564,14,2,2024-05-29,16980000
158,891,25,10,2024-03-17,107500000
159,188,84,4,2024-06-19,1800000
160,883,46,4,2024-03-07,13960000
161,625,17,2,2024-12-04,35780000
162,878,39,9,2024-02-29,8910000
163,570,80,10,2024-11-02,5100000
164,736,48,9,2024-11-20,71910000
165,905,56,1,2024-05-14,3990000
166,147,16,5,2025-02-22,14950000
167,467,39,2,2024-07-14,1980000
168,160,15,3,2024-04-08,25470000
169,109,1,5,2024-04-30,27400000
170,556,81,4,2024-07-08,680000
171,289,34,7,2024-06-23,26530000
172,729,91,2,2024-04-21,4880000
173,52,87,4,2024-04-12,768000
174,618,56,2,2024-09-26,7980000
175,522,18,5,2025-03-09,26450000
176,258,14,7,2025-02-07,59430000
177,924,67,9,2025-02-07,38610000
178,699,9,1,2025-02-18,12990000
179,435,22,6,2025-02-10,52140000
180,965,43,1,2024-05-29,420000
181,341,61,1,2025-02-13,4790000
182,169,23,8,2024-12-20,51920000
183,264,58,10,2024-06-05,83200000
184,689,38,5,2024-11-22,10450000
185,762,74,9,2024-08-15,137610000
186,76,71,10,2024-09-29,181900000
187,833,93,7,2024-12-14,8330000
188,461,54,4,2024-10-24,19560000
189,171,7,7,2024-10-02,87080000
190,742,79,6,2024-10-02,450000
191,856,55,9,2025-02-09,65610000
192,842,13,9,2024-12-23,34110000
193,917,44,10,2025-01-14,5190000
194,421,89,3,2024-05-18,2970000
195,96,36,5,2024-09-06,5275000
196,838,53,9,2024-10-26,10710000
197,481,63,7,2024-05-04,60200000
198,838,74,4,2024-10-06,61160000
