MaSP,link,img,name,price,star,sold,soluong
1,https://www.dienmayxanh.com/may-lanh/nagakawa-inverter-1-hp-nis-c09r2t28?utm_flashsale=1,,Nagakawa Inverter 1 HP NIS-C09R2T28,5480000,2.5,75700,50
2,https://www.dienmayxanh.com/tu-lanh/tu-lanh-toshiba-inverter-460-lit-gr-rs600wi-pmv-37-sg?utm_flashsale=1,,Toshiba Inverter 460 lít GR-RS600WI-PMV(37)-SG,12440000,1.5,75700,33
3,https://www.dienmayxanh.com/may-giat/electrolux-inverter-9-kg-ewf9025dqwb?utm_flashsale=1,,Electrolux Inverter 9 Kg EWF9025DQWB,7750000,4.5,75700,37
4,https://www.dienmayxanh.com/quat-dieu-hoa/ava-rpd-80?utm_flashsale=1,,Quạt điều hòa AVA RPD-80 130W,2750000,1.5,75700,24
5,https://www.dienmayxanh.com/may-loc-nuoc-ro-hydrogen/may-loc-nuoc-ro-nong-lanh-kangaroo-kg11a2-11-loi?utm_flashsale=1,,Máy lọc nước RO nóng nguội lạnh Hydrogen Kangaroo KG11A2 11 lõi,8600000,2.5,75700,8
6,https://www.dienmayxanh.com/may-lanh/daikin-inverter-1-hp-atkb25yvmv?utm_flashsale=1,https://cdnv2.tgdd.vn/mwg-static/dmx/Products/Images/2002/322936/daikin-inverter-1-hp-atkb25yvmv-thumb-638730708559148654-550x160.jpg,Daikin Inverter 1 HP ATKB25YVMV,10390000,5.0,75700,8
7,https://www.dienmayxanh.com/tu-lanh/tu-lanh-toshiba-inverter-460-lit-gr-rs600wi-pmv-37-sg?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/1943/303228/tu-lanh-toshiba-inverter-460-lit-gr-rs600wi-pmv-37-sg-16-600x600.jpg,Toshiba Inverter 460 lít GR-RS600WI-PMV(37)-SG,12440000,0.0,75700,42
8,https://www.dienmayxanh.com/may-giat/may-giat-lg-fv1410s4m1?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/1944/310434/may-giat-lg-fv1410s4m1-fix-thumb-600x600.jpg,LG Inverter 10 Kg FV1410S4M1,10190000,5.0,75700,26
9,https://www.dienmayxanh.com/tivi/google-tv-aqua-qled-4k-65-inch-aqt65s800ux?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/1942/327172/TimerThumb/google-tv-aqua-qled-4k-65-inch-aqt65s800ux-(8).jpg,AQUA Google TV QLED AQT65S800UX,12990000,3.0,75700,39
10,https://www.dienmayxanh.com/may-lanh/sharp-inverter-1-hp-ah-x10zew?utm_flashsale=1,,Sharp Inverter 1 HP AH-X10ZEW,7390000,5.0,75700,47
11,https://www.dienmayxanh.com/tu-lanh/lg-gr-b256jds,https://cdnv2.tgdd.vn/mwg-static/dmx/Products/Images/1943/307871/lg-gr-b256jds-300x300.jpg,LG Inverter 519 lít GR-B256JDS,13990000,0.5,75700,45
12,https://www.dienmayxanh.com/may-giat/may-giat-electrolux-ultimatecare-500-inverter-10-kg-ewf1023p5sc?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/1944/329610/TimerThumb/may-giat-electrolux-ultimatecare-500-inverter-10-kg-ewf1023p5sc.jpg,Electrolux Inverter 10 Kg EWF1023P5SC,11750000,3.0,75700,47
13,https://www.dienmayxanh.com/tu-dong/sanaky-100-lit-vh162hy2?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/166/309728/product-309728-260623-093546-600x600.jpg,Tủ Đông Sanaky 100 lít VH162HY2,3790000,0.0,75700,10
14,https://www.dienmayxanh.com/tivi/google-tcl-4k-55-inch-55p635?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/1942/281936/google-tcl-4k-55-inch-55p635-270522-021039-550x340.jpg,TCL Google TV 55P635,8490000,5.0,75700,27
15,https://www.dienmayxanh.com/may-lanh/lg-inverter-1-hp-v10win1?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/2002/320701/lg-inverter-1-hp-v10win1-550x160.jpg,LG Inverter 1 HP V10WIN1,8490000,2.5,75700,23
16,https://www.dienmayxanh.com/dan-loa-dvd/samsung-hw-t420,https://cdn.tgdd.vn/Products/Images/2162/223678/223678-600x600.jpg,Bộ loa thanh Samsung HW-T420 150W,2990000,4.5,75700,34
17,https://www.dienmayxanh.com/tivi/google-tivi-sony-4k-55-inch-k-55s30,https://cdnv2.tgdd.vn/mwg-static/dmx/Products/Images/1942/325313/google-tivi-sony-4k-55-inch-k-55s30-thumb-638703404349060241-550x340.jpg,Sony Google TV BRAVIA 3 K-55S30,17890000,3.5,75700,23
18,https://www.dienmayxanh.com/tu-lanh/tu-lanh-aqua-aqr-t220fa-fb?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/1943/304189/tu-lanh-aqua-aqr-t220fa-fb-5-600x600.jpg,Aqua Inverter 189 lít AQR-T220FA(FB),5290000,4.0,75700,0
19,https://www.dienmayxanh.com/may-nuoc-nong/truc-tiep-ariston-4500w-aures-premium-45p-pearl,https://cdnv2.tgdd.vn/mwg-static/dmx/Products/Images/1962/286051/may-nuoc-nong-truc-tiep-ariston-4500w-aures-premium-45p-pearl-170822-034224-300x300.jpg,Máy nước nóng trực tiếp Ariston 4500W AURES PREMIUM 4.5P PEARL,3090000,4.0,75700,10
20,https://www.dienmayxanh.com/may-giat/electrolux-inverter-9-kg-ewf9025dqwb?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/1944/316217/TimerThumb/electrolux-inverter-9-kg-ewf9025dqwb.jpg,Electrolux Inverter 9 Kg EWF9025DQWB,7750000,0.0,75700,18
21,https://www.dienmayxanh.com/tivi/smart-tivi-samsung-4k-65-inch-ua65cu8000?utm_flashsale=1,,Samsung Smart TV UA65CU8000,14490000,1.0,75700,21
22,https://www.dienmayxanh.com/may-rua-chen/may-rua-chen-mini-hafele-hdw-t5531b,,Máy rửa chén mini Hafele HDW-T5531B (538.21.350),8690000,5.0,75700,48
23,https://www.dienmayxanh.com/may-lanh/comfee-cfs-10vdgf-v,,Comfee Inverter 1 HP CFS-10VDGF-V,6490000,0.5,75700,10
24,https://www.dienmayxanh.com/dan-loa-dvd/keo-karaoke-mobell-mk-5070,,Loa kéo karaoke Mobell MK-5070 400W,4400000,1.0,75700,15
25,https://www.dienmayxanh.com/may-giat/may-giat-electrolux-ultimatecare-500-inverter-10-kg-ewf1023p5wc?utm_flashsale=1,,Electrolux Inverter 10 Kg EWF1023P5WC,10750000,3.0,75700,38
26,https://www.dienmayxanh.com/may-nuoc-nong/gian-tiep-ariston-20-lit-2500w-slim3-20-rs-mt,,Máy nước nóng gián tiếp Ariston 20 lít 2500W SLIM3 20 RS MT,3240000,4.0,75700,7
27,https://www.dienmayxanh.com/tivi/smart-nanocell-lg-4k-65-inch-65nano76sqa?utm_flashsale=1,,LG Smart TV NanoCell 65NANO76SQA,16900000,4.0,75700,15
28,https://www.dienmayxanh.com/tu-lanh/samsung-rf48a4000b4-sv?utm_flashsale=1,,Samsung Inverter 488 lít RF48A4000B4/SV,18990000,1.5,75700,22
29,https://www.dienmayxanh.com/may-lanh/toshiba-inverter-1-hp-ras-h10z1kcvg-v,,Toshiba Inverter 1 HP RAS-H10Z1KCVG-V,9390000,1.0,75700,39
30,https://www.dienmayxanh.com/may-rua-chen/may-rua-chen-doc-lap-comfee-cdwef1401hb-w-vn,,Máy rửa chén độc lập Comfee CDWEF1401HB-W-VN,11090000,0.0,75700,10
31,https://www.dienmayxanh.com/may-nuoc-nong/electrolux-ewe451gx-dwb,,Máy nước nóng trực tiếp Electrolux 4500W EWE451GX-DWB,2090000,0.0,75700,43
32,https://www.dienmayxanh.com/tivi/tivi-led-4k-hisense-65a6500k?utm_flashsale=1,,Hisense Google TV 65A6500K,10990000,2.5,75700,7
33,https://www.dienmayxanh.com/tu-lanh/lg-gr-b256bl?utm_flashsale=1,,LG Inverter 519 lít GR-B256BL,13790000,3.0,75700,24
34,https://www.dienmayxanh.com/tu-dong/tu-dong-hoa-phat-107-lit-hpf-an6107,,Tủ đông Hòa Phát 107 lít HPF AN6107,3790000,4.5,75700,22
35,https://www.dienmayxanh.com/quat-dieu-hoa/ava-rpd-80?utm_flashsale=1,,Quạt điều hòa AVA RPD-80 130W,2750000,2.0,75700,9
36,https://www.dienmayxanh.com/quat/quat-dung-toshiba-f-lsa10-w-vn-trang,,Quạt đứng Toshiba 5 cánh F-LSA10(W)VN 50W,1055000,2.0,75700,8
37,https://www.dienmayxanh.com/quat/lung-asia-vy538990?utm_flashsale=1,,Quạt lửng Asia 5 cánh VY538990 55W,439000,4.0,75700,31
38,https://www.dienmayxanh.com/noi-chien-khong-dau/sunhouse-shd4035-9-lit,,Nồi chiên không dầu Sunhouse SHD4035 9 lít,2090000,4.0,75700,17
39,https://www.dienmayxanh.com/noi-com-dien/noi-com-dien-tu-kangaroo-1-5-lit-kg15rce2?utm_flashsale=1,,Nồi cơm điện tử Kangaroo 1.5 lít KG15RCE2,990000,4.0,75700,31
40,https://www.dienmayxanh.com/noi-com-dien/kangaroo-kg378h-18-lit?utm_flashsale=1,,Nồi cơm nắp gài Kangaroo 1.8 lít KG378H,499000,4.5,75700,6
41,https://www.dienmayxanh.com/may-ep-trai-cay/may-ep-trai-cay-crystal-gs-333?utm_flashsale=1,,Máy ép trái cây Crystal GS-333,990000,3.0,75700,23
42,https://www.dienmayxanh.com/may-xay-sinh-to/da-nang-ava-bl328?utm_flashsale=1,,Máy xay sinh tố đa năng AVA BL328,550000,0.0,75700,27
43,https://www.dienmayxanh.com/may-danh-trung/may-danh-trung-ava-hm9103-gs?utm_flashsale=1,,Máy đánh trứng AVA HM9103-GS,420000,1.0,75700,1
44,https://www.dienmayxanh.com/may-hut-bui/may-hut-bui-cam-tay-deerma-dx118c-pro?utm_flashsale=1,,Máy hút bụi cầm tay Deerma DX118C Pro,519000,0.5,75700,37
45,https://www.dienmayxanh.com/bep-tu/bep-tu-hong-ngoai-lap-am-ferroli-ic4200dd?utm_flashsale=1,,Bếp từ hồng ngoại lắp âm Ferroli IC4200DD,3990000,1.0,75700,11
46,https://www.dienmayxanh.com/bep-tu/bep-tu-hong-ngoai-lap-am-rapido-rc4200ds?utm_flashsale=1,,Bếp từ hồng ngoại lắp âm Rapido RC4200DS,3490000,2.0,75700,3
47,https://www.dienmayxanh.com/bep-hong-ngoai/bep-hong-ngoai-doi-lap-am-kaff-kf-073cc?utm_flashsale=1,,Bếp hồng ngoại đôi lắp âm KAFF KF-073CC,7590000,1.0,75700,30
48,https://www.dienmayxanh.com/bep-tu/bep-tu-hong-ngoai-lap-am-kaff-kf-073ic?utm_flashsale=1,,Bếp từ hồng ngoại lắp âm KAFF KF-073IC,7990000,2.0,75700,22
49,https://www.dienmayxanh.com/bep-tu/kangaroo-kg856i,,Bếp từ đôi lắp âm Kangaroo KG856i,7690000,1.0,75700,25
50,https://www.dienmayxanh.com/bep-tu/hong-ngoai-ba-vung-nau-kangaroo-kg446i?utm_flashsale=1,,Bếp từ hồng ngoại 3 vùng nấu lắp âm Kangaroo KG446i,5590000,3.5,75700,8
